idle_timeout,arrival_rate,replications,simulation_total_delay,simulation_switch_delay,simulation_miss_delay,simulation_residual_delay,analytical_total_delay,analytical_switch_delay,analytical_miss_delay,analytical_residual_delay
1.0,0.1,10,1.1395649914907922,0.34598087463245364,0.7933467735607396,0.00023734329759892103,1.2316279546066444,0.3448275862068966,0.8357918480615811,0.05100852033816662
1.0,0.1589795918367347,10,1.1079142433418883,0.3506457080143983,0.7563506956379279,0.0009178396895618412,1.2296803394996159,0.3519862078873644,0.7987356276787106,0.07895850393354067
1.0,0.2179591836734694,10,1.0746496313468188,0.35833731030404475,0.7144291718108493,0.0018831492319245143,1.2268968683646089,0.35944835680751175,0.762364058499649,0.10508445305744786
1.0,0.27693877551020407,10,1.0416338568560495,0.37001786206950854,0.6689647445250396,0.002651250261501125,1.2232126589352135,0.36723375552724274,0.7267480130971032,0.12923089031086737
1.0,0.3359183673469388,10,1.0140360294865678,0.37330833059445995,0.637811093811809,0.0029166050802987434,1.2186033723948932,0.3753638731423319,0.6919587987047349,0.1512807005478265
1.0,0.39489795918367343,10,0.9922796709521705,0.38019510619068614,0.6083198703827,0.0037646943787844134,1.2130841888122053,0.38386212299255773,0.6580651916591915,0.17115687416045594
1.0,0.45387755102040817,10,0.9718994267074219,0.3852443117947714,0.5815530949972523,0.005102019915397991,1.2067072990428336,0.39275408784866944,0.6251309606657024,0.18882225052846183
1.0,0.5128571428571429,10,0.9534076799828831,0.3932453987448763,0.5535806674817491,0.006581613756257596,1.1995582313706643,0.402067777139575,0.5932129217944385,0.20427753243665084
1.0,0.5718367346938775,10,0.934951074792248,0.40150963102952497,0.5256581985058437,0.007783245256879183,1.1917513786463945,0.41183392166750715,0.5623595317455197,0.21755792523336762
1.0,0.6308163265306123,10,0.9224821173113644,0.41138899421579456,0.5019445034524603,0.009148619643109732,1.1834250997095568,0.4220863123438711,0.5326099950593225,0.2287287923063632
1.0,0.6897959183673469,10,0.9145685237935943,0.4183216301613678,0.48548734917204966,0.010759544460176665,1.1747367440861733,0.4328621908127208,0.5039938372836174,0.23788071598983523
1.0,0.7487755102040816,10,0.9072889939102187,0.42914255884732916,0.4653045163760125,0.012841918686877013,1.165857900720064,0.44420270147765395,0.4765308802151704,0.24512431902723963
1.0,0.8077551020408164,10,0.9016082092261787,0.4363523831885704,0.45093659777012274,0.014319228267485487,1.1569701099734482,0.45615341649599705,0.450231546865411,0.2505851466120401
1.0,0.866734693877551,10,0.8922406141846647,0.44284615894833346,0.4334550924491272,0.0159393627872041,1.1482612126724203,0.46876494786185785,0.4250974217624789,0.2543988430480836
1.0,0.9257142857142857,10,0.8920421108986204,0.4605687636344188,0.41257685220004064,0.018896495064161054,1.1399224481204564,0.4820936639118457,0.40112199523575975,0.256706788972851
1.0,0.9846938775510203,10,0.8924816221973779,0.4686090362713375,0.40095529085063075,0.022917295075409693,1.1321463600703041,0.4962025316455696,0.37829152696030527,0.2576523014644292
1.0,1.0436734693877552,10,0.8930521317843663,0.4830760012162676,0.38476404523950114,0.02521208532859765,1.1251255287526065,0.5111621114124766,0.356585972870583,0.25737744446954697
1.0,1.1026530612244898,10,0.8947347451383546,0.4962178483377147,0.37069880908439873,0.027818087716241037,1.1190521194965637,0.5270517371195009,0.3359799293880111,0.25602045298905174
1.0,1.1616326530612247,10,0.8986259945701471,0.5075657657388597,0.3604829901517655,0.030577238679522,1.1141182242178629,0.5439609236234458,0.3164435588056505,0.25371374178876643
1.0,1.2206122448979593,10,0.9001171612225514,0.5220105021753403,0.34483719483432745,0.03326946421288379,1.110516970310643,0.5619910540199564,0.297943468966619,0.25058244732406776
1.0,1.279591836734694,10,0.9098446833331597,0.5396332169692217,0.3315601059579585,0.038651360405979406,1.1084443812481746,0.5812574139976275,0.28044352863729183,0.24674343861325526
1.0,1.3385714285714287,10,0.9224043213363897,0.5540849723500629,0.32611952505951713,0.042199823926809675,1.108101993675444,0.6018916595012899,0.26390560699464716,0.24230472717950693
1.0,1.3975510204081634,10,0.9304560635532557,0.5755975670998963,0.30925654930530533,0.045601947148053885,1.1097002667806684,0.6240448293428427,0.24829023135890696,0.23736520607891887
1.0,1.456530612244898,10,0.9456977479504086,0.5937638684742508,0.2989861599059509,0.05294771957020705,1.1134628620522267,0.6478910485257173,0.2335571617578831,0.23201465176862612
1.0,1.5155102040816328,10,0.9568536545173298,0.6107246802705963,0.2912498360548951,0.05487913819183832,1.1196319273303863,0.6736321143799836,0.21966588422753547,0.2263339287228671
1.0,1.5744897959183675,10,0.9701401567559653,0.6310733658195681,0.27614696834815033,0.06291982258824685,1.1284745924232757,0.7015032211882606,0.2065760270901557,0.22039534414485937
1.0,1.633469387755102,10,0.9936565132197772,0.654246458914343,0.27060517306071236,0.06880488124472195,1.1402909812414366,0.7317801672640383,0.19424770597570715,0.21426310800169104
1.0,1.6924489795918367,10,1.024418946829688,0.6871262157556011,0.2588386313772856,0.07845409969680142,1.1554241781261902,0.7647885125643827,0.18264180422744947,0.20799386133435813
1.0,1.7514285714285716,10,1.0520616351142364,0.7139820838852439,0.2510204845386864,0.08705906669030619,1.1742727704996423,0.8009153318077804,0.17172019571000516,0.20163724298185678
1.0,1.8104081632653062,10,1.077456726669991,0.738805357823636,0.24275585264058458,0.0958955162057703,1.197306852221597,0.8406244638874593,0.16144591704681438,0.19523647128732327
1.0,1.8693877551020408,10,1.121207530732759,0.7755045540329149,0.23457861513571476,0.11112436156412939,1.225088753286971,0.8844765342960289,0.1517832960633097,0.1888289229276324
1.0,1.9283673469387757,10,1.1587684950975305,0.8087050832311613,0.2260717997708837,0.12399161209548533,1.2583003279140414,0.9331555894115408,0.14269804278992615,0.18244669571257444
1.0,1.9873469387755103,10,1.2149161025765207,0.8517269340044858,0.21675684125822578,0.14643232731380912,1.2977794932227975,0.9875050382910118,0.13415730885379595,0.17611714607798967
1.0,2.046326530612245,10,1.2747666587514341,0.8941587711073318,0.2104866677488293,0.17012121989527323,1.3445700469429833,1.0485769313075113,0.12612972051149762,0.1698633951239742
1.0,2.1053061224489795,10,1.3343643462209045,0.9461141581441039,0.20162708227953247,0.1866231057972679,1.3999909194278315,1.1177007299270072,0.11858538998534653,0.1637047995154776
1.0,2.164285714285714,10,1.4117023670640902,0.9990307051804415,0.19581955341719706,0.21685210846645156,1.4657344912340577,1.1965811965811963,0.11149590918890276,0.15765738546395866
1.0,2.223265306122449,10,1.4801182793811072,1.0471726421168646,0.18897868277518842,0.2439669544890543,1.544009457635829,1.2874408828166057,0.10483432938116813,0.151734245438055
1.0,2.282244897959184,10,1.5866151995463909,1.112593369800785,0.17981411427109623,0.2942077154745092,1.6377538970004708,1.3932328689223774,0.09857512978406023,0.14594589829403312
1.0,2.3412244897959185,10,1.7031008533477596,1.1828991148329495,0.17177566264740154,0.3484260758674087,1.7509625738971688,1.5179677819083026,0.09269417773980437,0.14030061424906165
1.0,2.400204081632653,10,1.8747202446056748,1.2822721669363921,0.16515336669035816,0.42729471097892446,1.889207142160728,1.6672337529772032,0.08716868257585333,0.13480470660767152
1.0,2.4591836734693877,10,2.0041987338491767,1.3506547046576916,0.15817612208878087,0.4953679071027036,2.060496541207231,1.8490566037735847,0.08197714498424415,0.12946279244940218
1.0,2.5181632653061223,10,2.2135569447473458,1.4729866466638863,0.1527824531353312,0.5877878449481282,2.276769111189724,2.0753917831427358,0.07709930340769415,0.12427802463929419
1.0,2.5771428571428574,10,2.5058109714801358,1.544641613639102,0.1475365784279406,0.8136327794130933,2.556633241087518,2.3648648648648662,0.07251607865294299,0.11925229756970884
1.0,2.636122448979592,10,2.835771478887783,1.6761305874369186,0.14199730995166032,1.0176435814992035,2.93077317611934,2.748177229388672,0.06820951771903964,0.11438642901162821
1.0,2.6951020408163266,10,3.420723209900074,1.7821692837989462,0.13706489123188315,1.501489034869245,3.453628867906193,3.279785809906293,0.064162737630411,0.10968032036948883
1.0,2.7540816326530613,10,4.261394109381649,1.779329142495977,0.13207261500350603,2.3499923518821655,4.231883008905241,4.066390041493777,0.06035986989761038,0.10513309751385455
1.0,2.813061224489796,10,5.693320431593379,0.9596933464149124,0.1268897934423714,4.606737291736094,5.506874218479372,5.349344978165938,0.05678600608877611,0.10074323422465835
1.0,2.8720408163265305,10,8.098753404357936,-1.537757567711597,0.12078870826615251,9.515722263803381,7.9649278305214715,7.814992025518336,0.05342714487844471,0.0965086601246909
1.0,2.9310204081632656,10,14.89043999243118,-15.483966864000305,0.11724666545270652,30.257160190978773,14.639738415788678,14.497041420118403,0.05027014084418604,0.09242685482608826
1.0,2.99,10,41.931122267475956,-156.63561922203473,0.11367200750277084,198.45306948200795,100.13579758506194,100.00000000000213,0.04730265520261702,0.08849492985718971
2.0,0.1,10,1.06864914673325,0.3412037524440297,0.7272716030977497,0.00017379119147056086,1.145034844378652,0.3448275862068966,0.7543309752200696,0.0458762829516857
2.0,0.1589795918367347,10,1.0097676278193617,0.3590423243495832,0.6497535674373045,0.0009717360324740956,1.0955799520570721,0.3519862078873644,0.6772039624017183,0.06638978176798954
2.0,0.2179591836734694,10,0.9503686947968966,0.36368088707503,0.5857277924776049,0.0009600152442615347,1.0483513690977802,0.35944835680751175,0.6065177736111875,0.0823852386790808
2.0,0.27693877551020407,10,0.9019212747657701,0.369925334321648,0.5298324134389917,0.0021635270051304886,1.0036103819962758,0.36723375552724274,0.5420906989915861,0.09428592747744709
2.0,0.3359183673469388,10,0.8598420103167721,0.37577230637042924,0.4815349898019517,0.002534714144391062,0.9616053119935931,0.3753638731423319,0.4836575911258479,0.10258384772541336
2.0,0.39489795918367343,10,0.8198899505779483,0.37985476367232385,0.43703505331912973,0.0030001335864946787,0.9225475112933176,0.38386212299255773,0.4308896269202551,0.10779576138050473
2.0,0.45387755102040817,10,0.7898636857206501,0.38983685598958673,0.39674730733160374,0.0032795223994595674,0.8865983041532071,0.39275408784866944,0.38341485430358596,0.11042936200095163
2.0,0.5128571428571429,10,0.7591689301791309,0.39388568880588576,0.3614329858352053,0.0038502555380398656,0.8538648611029417,0.402067777139575,0.34083712900073415,0.11095995496263253
2.0,0.5718367346938775,10,0.7395422111066072,0.40645727605613907,0.3282324323214728,0.004852502728995381,0.8244025171188344,0.41183392166750715,0.30275214544401,0.10981645000731723
2.0,0.6308163265306123,10,0.722284790320487,0.4151697802168589,0.30123232486700263,0.005882685236625442,0.7982211541837267,0.4220863123438711,0.2687600904247503,0.10737475141510536
2.0,0.6897959183673469,10,0.7059967273963209,0.4215379412479766,0.27866836521306115,0.005790420935283126,0.7752936913103262,0.4328621908127208,0.23847498873828907,0.10395651175931626
2.0,0.7487755102040816,10,0.6990373550219138,0.4344637333296794,0.2572384489969496,0.00733517269528466,0.7555652492754152,0.44420270147765395,0.21153111343100872,0.09983143436675256
2.0,0.8077551020408164,10,0.6845836614356582,0.44304129533790404,0.2336516931717604,0.007890672925993807,0.7389620525862414,0.45615341649599705,0.18758696424022006,0.09522167185002431
2.0,0.866734693877551,10,0.6724552943282337,0.44899404494395767,0.21572766848003289,0.007733580904243037,0.7253995357699519,0.46876494786185785,0.16632733776551756,0.0903072501425765
2.0,0.9257142857142857,10,0.6703534321005806,0.4692675109469932,0.19179603323274272,0.009289887920844665,0.7147894192247026,0.4820936639118457,0.14746397022651464,0.08523178508634216
2.0,0.9846938775510203,10,0.6692061060555516,0.47952457776997504,0.18041106344704055,0.009270464838536076,0.707045721174826,0.4962025316455696,0.13073516214770475,0.0801080273815516
2.0,1.0436734693877552,10,0.6719115310036566,0.4979456279320241,0.16340235165394132,0.010563551417691209,0.7020897967661608,0.5111621114124766,0.11590471520699198,0.07502297014669225
2.0,1.1026530612244898,10,0.6748029985807222,0.5148973245718788,0.14821356829759935,0.011692105711244238,0.6998545647180703,0.5270517371195009,0.10276043667986834,0.07004239091870101
2.0,1.1616326530612247,10,0.6777634196543143,0.5331460506900716,0.13334036026521795,0.011277008699024753,0.7002881153208833,0.5439609236234458,0.09111240201973947,0.06521478967769798
2.0,1.2206122448979593,10,0.6831451350134208,0.5477664243049474,0.12318128096897088,0.012197429739502408,0.7033569060360889,0.5619910540199564,0.08079111290801463,0.06057473910811785
2.0,1.279591836734694,10,0.6907009019316375,0.5647512681456872,0.11282373276731747,0.013125901018632724,0.7090487537404552,0.5812574139976275,0.07164564623361962,0.05614569350920804
2.0,1.3385714285714287,10,0.7044573432056696,0.5874438400883971,0.10330020519144778,0.013713297925824658,0.7173758338742087,0.6018916595012899,0.06354185755825498,0.05194231681466377
2.0,1.3975510204081634,10,0.7152915971073052,0.606731015630924,0.09441709599400527,0.014143485482375998,0.7283779024209432,0.6240448293428427,0.056360678982294174,0.047972394095806406
2.0,1.456530612244898,10,0.7248256639274246,0.6256510018970881,0.08449629374552868,0.014678368284807888,0.7421259716647238,0.6478910485257173,0.04999653425345536,0.04423838888555109
2.0,1.5155102040816328,10,0.7474026975975134,0.6512124263827201,0.08130888992847243,0.014881381286320817,0.7587266997836399,0.6736321143799836,0.04435588195070247,0.04073870345295382
2.0,1.5744897959183675,10,0.7642597155735472,0.6762835202889358,0.07170312906526052,0.01627306621935104,0.7783278031149297,0.7015032211882606,0.03935588937281911,0.03746869255384999
2.0,1.633469387755102,10,0.7960775758390661,0.7134749777491585,0.06538603087608809,0.017216567213819513,0.8011248758821363,0.7317801672640383,0.03492323435954966,0.03442147425854832
2.0,1.6924489795918367,10,0.8183728408858159,0.7433103121783565,0.05744511986821145,0.017617408839247808,0.8273701162819516,0.7647885125643827,0.030993028892994212,0.03158857482457461
2.0,1.7514285714285716,10,0.8517517061360158,0.7792809880851288,0.05323656904073585,0.019234149010151056,0.8573836267382362,0.8009153318077804,0.027507856376665328,0.028960438553790498
2.0,1.8104081632653062,10,0.8880462553780084,0.8196721858662581,0.04947535022019192,0.018898719291558338,0.8915682056932301,0.8406244638874593,0.02441691352940768,0.026526828276363226
2.0,1.8693877551020408,10,0.9290129717935935,0.8620453246128091,0.045810026289067815,0.021157620891716477,0.9304289193928145,0.8844765342960289,0.02167524753948684,0.024277137557298805
2.0,1.9283673469387757,10,0.9737986724558431,0.9131273662436941,0.03955268476163868,0.021118621450510213,0.9745993005630913,0.9331555894115408,0.019243079268785046,0.022200631882765443
2.0,1.9873469387755103,10,1.018599511716446,0.958026840230288,0.037232706301502216,0.02333996518465588,1.0248768748869308,0.9875050382910118,0.017085203713746146,0.020286632882172986
2.0,2.046326530612245,10,1.089393633753001,1.0334448259814,0.03139519728187058,0.024553610489730433,1.0822720478074759,1.0485769313075113,0.015170459503692675,0.01852465699627175
2.0,2.1053061224489795,10,1.1676350841214744,1.1105856612252192,0.029699333448565575,0.02735008944768975,1.1480765076265502,1.1177007299270072,0.013471259869740917,0.016904517829802134
2.0,2.164285714285714,10,1.2318428444682403,1.175951345206683,0.026756122476627387,0.029135376784930122,1.223960774430934,1.1965811965811963,0.011963178196108587,0.015416399653629136
2.0,2.223265306122449,10,1.331195256003606,1.2713038763967408,0.02359688097118249,0.03629449863568257,1.3121163728309202,1.2874408828166057,0.010624581935965348,0.014050908078349161
2.0,2.282244897959184,10,1.4232769572149606,1.3642531654665135,0.02305225445685599,0.0359715372915913,1.4154682809879853,1.3932328689223774,0.009436309314906369,0.012799102750701574
2.0,2.3412244897959185,10,1.5570120074840184,1.4948930465835306,0.019791257053986367,0.04232770384650164,1.538001681728981,1.5179677819083026,0.008381383844394338,0.011652515976284045
2.0,2.400204081632653,10,1.6806503816203389,1.6208902052636502,0.017536553895213965,0.04222362246147455,1.6852816756019042,1.6672337529772032,0.0074447622189800925,0.01060316040572091
2.0,2.4591836734693877,10,1.891486267124962,1.825820176538322,0.01525900205154162,0.05040708853509803,1.8653132437486688,1.8490566037735847,0.006613111672699127,0.00964352830238505
2.0,2.5181632653061223,10,2.1390592266287927,2.0648392381172176,0.014156192802843665,0.06006379570873144,2.090032980875022,2.0753917831427358,0.005874613322298576,0.008766584409987444
2.0,2.5771428571428574,10,2.456766561364907,2.3667134165598527,0.012396627463415917,0.07765651734163807,2.378049407329862,2.3648648648648662,0.0052187884300411245,0.007965754034955095
2.0,2.636122448979592,10,2.827878496114874,2.716187833577395,0.011821691419187355,0.09986897111829167,2.7600484819014777,2.748177229388672,0.004636344879854949,0.007234907632950348
2.0,2.6951020408163266,10,3.3790824206658776,3.2412507173778877,0.009995308238040384,0.12783639504994998,3.290473194313519,3.279785809906293,0.004119041481110795,0.006568342926115317
2.0,2.7540816326530613,10,4.192926839947613,4.014543259314629,0.01003630522561933,0.16834727540736494,4.07601037485732,4.066390041493777,0.0036595679980228773,0.005960765365521161
2.0,2.813061224489796,10,5.525815936183531,5.202353701242271,0.008796321408977846,0.31466591353228324,5.358003684801278,5.349344978165938,0.0032514390532590253,0.00540726758208128
2.0,2.8720408163265305,10,8.604073607021153,7.872426779949677,0.007702610726461115,0.7239442163450148,7.822784234124621,7.814992025518336,0.0028889002753123695,0.0049033083309730895
2.0,2.9310204081632656,10,15.102023747612211,13.182389255486285,0.006935661136694441,1.9126988309892325,14.504052956695267,14.497041420118403,0.0025668452538013115,0.004444691323062987
2.0,2.99,10,43.3399100011586,31.32653547680165,0.006494195706050603,12.006880328650894,100.0063082862871,100.00000000000213,0.0022807420381269535,0.004027544246838989
3.0,0.1,10,1.0061878673671993,0.3448614777653655,0.6611146951902575,0.0002116944115764137,1.0670975325513166,0.3448275862068966,0.6809844503320095,0.04128549601241041
3.0,0.1589795918367347,10,0.927461138715058,0.3541119521535351,0.5728096910869909,0.0005394954745320198,0.9826540656365678,0.3519862078873644,0.5747186130916659,0.05594924465753745
3.0,0.2179591836734694,10,0.8448394535478831,0.36458979723002594,0.4789570222586009,0.0012926340592563069,0.9080333130502923,0.35944835680751175,0.4836436370686799,0.06494131917410072
3.0,0.27693877551020407,10,0.7855607520578711,0.37006830559436976,0.4142863239427407,0.0012061225207605209,0.8428415818863377,0.36723375552724274,0.4061106762047539,0.06949715015434105
3.0,0.3359183673469388,10,0.7359663770408614,0.37787932825612847,0.35626853986871426,0.0018185089160187493,0.7865463895690266,0.3753638731423319,0.34045517917461804,0.07072733725207671
